bout_date,year,month,sex_cd,site_name,dive_time,success_cd,preytype_cd,prey_qty,preysize_cd,ageclass_cd,dive_num,visibility_cd,area_cd,bout_id,phylum
1993-04-18,1993,4,f,Inian,96,y,mas,3,2z,a,10,un,SICY,19930418jlb2,Mollusca
1993-04-18,1993,4,f,Inian,114,y,mas,3,1z,a,11,un,SICY,19930418jlb2,Mollusca
1993-04-18,1993,4,f,Inian,99,y,mas,3,2z,a,12,un,SICY,19930418jlb2,Mollusca
1993-04-18,1993,4,f,Inian,122,y,mas,3,2z,a,1,un,SICY,19930418jlb3,Mollusca
1993-04-18,1993,4,f,Inian,125,y,mas,4,2z,a,2,un,SICY,19930418jlb3,Mollusca
1993-04-18,1993,4,f,Inian,112,y,mas,3,1z,a,3,un,SICY,19930418jlb3,Mollusca
1993-04-18,1993,4,f,Inian,110,y,mas,3,1z,a,4,un,SICY,19930418jlb3,Mollusca
1993-04-18,1993,4,f,Inian,104,y,mas,4,1z,a,5,un,SICY,19930418jlb3,Mollusca
1993-04-18,1993,4,f,Inian,120,y,mas,4,1z,a,6,un,SICY,19930418jlb3,Mollusca
1993-04-18,1993,4,f,Inian,107,y,mas,4,2z,a,7,un,SICY,19930418jlb3,Mollusca
1993-04-18,1993,4,f,Inian,91,y,mas,2,2z,a,8,un,SICY,19930418jlb3,Mollusca
1993-04-18,1993,4,f,Inian,112,y,mas,2,2z,a,9,un,SICY,19930418jlb3,Mollusca
1993-04-18,1993,4,f,Inian,108,y,mas,2,2z,a,10,un,SICY,19930418jlb3,Mollusca
1993-04-18,1993,4,f,Inian,103,y,mas,3,2z,a,11,un,SICY,19930418jlb3,Mollusca
1993-04-18,1993,4,f,Inian,114,y,mas,3,2z,a,12,un,SICY,19930418jlb3,Mollusca
1993-04-18,1993,4,f,Inian,114,y,mas,4,2z,a,13,un,SICY,19930418jlb3,Mollusca
1993-04-18,1993,4,f,Inian,123,y,mas,3,2z,a,14,un,SICY,19930418jlb3,Mollusca
1993-04-18,1993,4,f,Inian,104,y,mas,1,1z,a,15,un,SICY,19930418jlb3,Mollusca
1993-04-18,1993,4,f,Inian,104,y,mas,1,2z,a,15,un,SICY,19930418jlb3,Mollusca
1993-04-18,1993,4,f,Inian,115,y,mas,1,1z,a,16,un,SICY,19930418jlb3,Mollusca
1993-04-18,1993,4,f,Inian,115,y,mas,2,2z,a,16,un,SICY,19930418jlb3,Mollusca
1993-04-18,1993,4,f,Inian,114,y,mas,2,1z,a,17,un,SICY,19930418jlb3,Mollusca
1993-04-18,1993,4,f,Inian,114,y,mas,1,2z,a,17,un,SICY,19930418jlb3,Mollusca
1993-04-18,1993,4,f,Inian,112,y,mas,1,1z,a,18,un,SICY,19930418jlb3,Mollusca
1993-04-18,1993,4,f,Inian,112,y,mas,1,2z,a,18,un,SICY,19930418jlb3,Mollusca
1993-04-18,1993,4,f,Inian,113,y,mas,2,1z,a,19,un,SICY,19930418jlb3,Mollusca
1993-04-18,1993,4,f,Inian,113,y,mas,1,2z,a,19,un,SICY,19930418jlb3,Mollusca
1993-04-18,1993,4,f,Inian,118,y,mas,2,2z,a,20,un,SICY,19930418jlb3,Mollusca
1993-04-18,1993,4,f,Inian,91,y,mas,2,2z,a,1,un,SICY,19930418leb4,Mollusca
1993-04-18,1993,4,f,Inian,56,u,,NA,,a,2,un,SICY,19930418leb4,NA
1993-04-18,1993,4,f,Inian,83,y,mas,2,2z,a,3,un,SICY,19930418leb4,Mollusca
1993-04-18,1993,4,f,Inian,66,y,mas,2,2z,a,1,un,SICY,19930418leb7,Mollusca
1993-04-18,1993,4,f,Inian,NA,y,mas,1,2z,a,2,un,SICY,19930418leb7,Mollusca
1993-04-18,1993,4,f,Inian,NA,y,gos,1,4z,a,3,un,SICY,19930418leb7,Echinodermata
1993-04-19,1993,4,f,Dundas,79,n,,NA,,a,1,un,GLBA,19930419leb1,NA
1993-04-19,1993,4,f,Dundas,60,n,,NA,,a,2,un,GLBA,19930419leb1,NA
1993-04-19,1993,4,f,Dundas,64,y,cln,1,2z,a,4,un,GLBA,19930419leb1,Mollusca
1993-04-19,1993,4,f,Dundas,30,n,,NA,,a,5,un,GLBA,19930419leb1,NA
1993-04-19,1993,4,f,Dundas,NA,y,sag,NA,2z,a,6,un,GLBA,19930419leb1,Mollusca
1993-04-19,1993,4,f,Dundas,64,y,cla,2,2z,a,7,un,GLBA,19930419leb1,Mollusca
1993-04-19,1993,4,f,Dundas,NA,y,cla,2,2z,a,8,un,GLBA,19930419leb1,Mollusca
1993-04-19,1993,4,f,Dundas,58,y,mas,1,1z,a,9,un,GLBA,19930419leb1,Mollusca
1993-04-19,1993,4,f,Dundas,61,y,cla,1,1z,a,11,un,GLBA,19930419leb1,Mollusca
1993-04-19,1993,4,f,Dundas,45,y,cla,3,1z,a,12,un,GLBA,19930419leb1,Mollusca
1993-04-19,1993,4,f,Dundas,62,y,cla,2,1z,a,13,un,GLBA,19930419leb1,Mollusca
1993-04-19,1993,4,f,Dundas,63,y,cla,3,1z,a,14,un,GLBA,19930419leb1,Mollusca
1993-04-19,1993,4,f,Dundas,60,y,cla,1,1z,a,15,un,GLBA,19930419leb1,Mollusca
1993-04-19,1993,4,f,Dundas,73,y,cla,2,1z,a,16,un,GLBA,19930419leb1,Mollusca
1993-04-20,1993,4,m,Dundas,72,y,chb,1,3z,a,1,un,GLBA,19930420leb5,Arthropoda
1993-04-20,1993,4,m,Dundas,NA,y,cam,1,4z,a,4,un,GLBA,19930420leb5,Arthropoda
1993-04-20,1993,4,m,Dundas,77,y,urc,3,1z,a,5,un,GLBA,19930420leb5,Echinodermata
1993-04-20,1993,4,m,Dundas,60,y,urc,8,1z,a,6,un,GLBA,19930420leb5,Echinodermata
1993-04-20,1993,4,m,Dundas,64,y,urc,6,1z,a,7,un,GLBA,19930420leb5,Echinodermata
1993-04-20,1993,4,m,Dundas,62,y,urc,4,1z,a,8,un,GLBA,19930420leb5,Echinodermata
1993-04-20,1993,4,m,Dundas,54,y,cam,1,2z,a,9,un,GLBA,19930420leb5,Arthropoda
1993-04-20,1993,4,m,Dundas,57,y,cla,2,2z,a,10,un,GLBA,19930420leb5,Mollusca
1993-04-20,1993,4,m,Dundas,56,y,cra,3,1z,a,11,un,GLBA,19930420leb5,Arthropoda
1993-04-20,1993,4,m,Dundas,72,y,cla,4,1z,a,13,un,GLBA,19930420leb5,Mollusca
1993-04-20,1993,4,m,Dundas,73,y,mys,5,1z,a,15,un,GLBA,19930420leb5,Mollusca
1993-04-20,1993,4,m,Dundas,75,y,mys,4,1z,a,16,un,GLBA,19930420leb5,Mollusca
1993-04-20,1993,4,m,Dundas,58,y,mys,1,1z,a,17,un,GLBA,19930420leb5,Mollusca
1993-04-20,1993,4,m,Dundas,66,y,cra,1,2z,a,19,un,GLBA,19930420leb5,Arthropoda
1993-04-20,1993,4,m,Dundas,67,y,cra,2,1z,a,20,un,GLBA,19930420leb5,Arthropoda
1993-04-20,1993,4,m,Dundas,67,y,cra,1,2z,a,20,un,GLBA,19930420leb5,Arthropoda
1993-04-21,1993,4,m,Dundas,NA,y,cam,1,3z,a,1,un,GLBA,19930421leb1,Arthropoda
1993-04-21,1993,4,m,Dundas,44,y,cam,1,4z,a,2,un,GLBA,19930421leb1,Arthropoda
